id,in_b,in_d,in_dd,in_sigma_m,in_sigma_w,alpha,beta,gamma,pop_error,pcf_error
1,1,0,0.75,0.6,1.1,2.735752973709671,-1.7610986727594482,0.025345699049777164,0.9998219317664798,0.06328705391044943
2,1,0,0.75,0.6,1.2000000000000002,2.7065101412656216,-1.8411714286917584,0.1346612874261369,0.9998298488594434,0.0710007776906402
3,1,0,0.75,0.6,1.3,2.682257086052062,-1.8539582763200235,0.1717011902679619,0.9998351045755225,0.06665662643156042
4,1,0,0.75,0.6,1.4,2.6919830522225494,-1.8493303642556087,0.15734731203305932,0.9998267061280841,0.07203687519175136
5,1,0,0.75,0.6,1.5,2.6513300455848094,-1.9993763254045607,0.348046279819751,0.9998495761802204,0.07969818381484897
6,1,0,0.75,0.7,1.1,2.802046718702544,-1.468383312298238,-0.3336634064043062,0.9998082553197534,0.054867710695559346
7,1,0,0.75,0.7,1.2000000000000002,2.7652466712782244,-1.5835193841218809,-0.18172728715634348,0.999815102868151,0.05970021580133229
8,1,0,0.75,0.7,1.3,2.719134747749819,-1.7689708654323792,0.04983611768256031,0.9998260377282745,0.05621966826323382
9,1,0,0.75,0.7,1.4,2.761594800210048,-1.6783723797427348,-0.08322242046731308,0.9998254419330004,0.06578729547407287
10,1,0,0.75,0.7,1.5,2.730408475518386,-1.7013897723911102,-0.02901870312727609,0.9998298375676772,0.06566961080751266
11,1,0,0.75,0.8,1.1,3.0554439484607125,-1.5159431706266657,-0.5395007778340467,0.9998110021828429,0.05589959016154622
12,1,0,0.75,0.8,1.2000000000000002,2.8553725241891246,-1.4150140880132962,-0.4403584361758286,0.9998044509414842,0.057429064111291984
13,1,0,0.75,0.8,1.3,2.889703820646622,-1.500830865248259,-0.3888729553983632,0.9998091588217021,0.05645612979995298
14,1,0,0.75,0.8,1.4,2.8862042844099887,-1.51193501120909,-0.3742692732008988,0.999818433716259,0.05580458805191708
15,1,0,0.75,0.8,1.5,2.8298292120021293,-1.6434478063783078,-0.18638140562382138,0.9998301637624939,0.0621463009339628
16,1,0,0.75,0.9,1.1,2.876729039683274,-1.4046390787401692,-0.47208996094310485,0.999805229197463,0.05525232264167821
17,1,0,0.75,0.9,1.2000000000000002,2.80258913010618,-1.4538040465034834,-0.3487850836026966,0.9998093141308165,0.05462916890948145
18,1,0,0.75,0.9,1.3,2.8906007772809463,-1.7570007717332232,-0.133600005547723,0.9998185805471319,0.05508965934708779
19,1,0,0.75,0.9,1.4,2.824759342680008,-1.5473888140291612,-0.2773705286508468,0.9998183107960805,0.05393819032214939
20,1,0,0.75,0.9,1.5,2.863181107520034,-1.523736135352563,-0.33944497216747127,0.9998200751147772,0.05531978499869855
21,1,0,0.75,1.0,1.1,2.814221767119036,-0.4692474511147212,-1.3449743160043148,0.9997974734317787,0.051391480820271236
22,1,0,0.75,1.0,1.2000000000000002,2.7823902597408035,-1.581272662006956,-0.20111759773384771,0.999806384638108,0.05395078455625599
23,1,0,0.75,1.0,1.3,2.8170839531171104,-1.3319012331375906,-0.4851827199795198,0.9998056955847707,0.053195269106666915
24,1,0,0.75,1.0,1.4,2.8621439145073087,-1.4183881494492936,-0.44375576505801506,0.9998110162428296,0.050803142524056086
25,1,0,0.75,1.0,1.5,2.8991498322721023,-1.2001433659544039,-0.6990064663176986,0.9998085069668464,0.05049743112922315
